City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,pacific grove,36.62,-121.92,68.0,77,90,3.36,US,1595098286
144,nara,34.69,135.8,75.99,73,100,0.81,JP,1595098275
145,mahebourg,-20.41,57.7,69.8,60,40,14.99,MU,1595098286
146,lagoa,39.05,-27.98,69.21,77,0,11.72,PT,1595098287
147,thompson,55.74,-97.86,68.0,60,75,9.17,CA,1595098288
148,lahuachaca,-17.37,-67.67,60.55,28,0,2.51,BO,1595098288
149,abrau-dyurso,44.69,37.59,77.0,64,40,15.66,RU,1595098288
150,deputatskiy,69.3,139.9,47.1,70,91,6.04,RU,1595098288
151,abha,18.22,42.51,78.8,38,40,6.93,SA,1595098288
152,wadi musa,30.32,35.48,68.32,59,0,4.97,JO,1595098288
153,narsaq,60.92,-46.05,66.2,29,75,8.05,GL,1595098288
154,saint-philippe,-21.36,55.77,66.2,82,90,6.93,RE,1595098289
155,la gomera,14.08,-91.05,91.4,63,75,11.41,GT,1595098289
156,mancio lima,-7.61,-72.9,90.07,43,78,2.33,BR,1595098289
157,broome,42.25,-75.83,88.0,45,1,12.75,US,1595098289
158,tocopilla,-22.09,-70.2,66.31,47,89,11.1,CL,1595098289
159,atuona,-9.8,-139.03,79.39,79,93,16.78,PF,1595098289
160,bethel,41.37,-73.41,90.0,44,0,1.99,US,1595098290
161,grand gaube,-20.01,57.66,66.0,73,0,3.0,MU,1595098290
162,pimentel,-6.84,-79.93,71.6,60,75,11.41,PE,1595098018
163,coquimbo,-29.95,-71.34,59.0,67,100,10.29,CL,1595098290
164,ewa beach,21.32,-158.01,82.4,65,1,4.7,US,1595098007
165,hobyo,5.35,48.53,77.68,73,46,27.85,SO,1595098290
166,praia,14.92,-23.51,84.2,51,20,13.87,CV,1595098291
167,bagdarin,54.43,113.6,54.09,71,100,5.46,RU,1595098291
168,prince george,53.92,-122.75,55.99,100,90,12.75,CA,1595098017
169,ozu,33.5,132.55,75.0,80,100,3.24,JP,1595098291
170,biloela,-24.42,150.5,47.79,86,0,2.06,AU,1595098291
171,sao miguel do araguaia,-13.28,-50.16,89.98,25,0,5.1,BR,1595098292
172,camapua,-19.53,-54.04,90.41,22,0,10.11,BR,1595098292
173,saskylakh,71.92,114.08,44.01,75,21,12.37,RU,1595098292
174,kortkeros,61.81,51.58,64.4,93,36,3.0,RU,1595098292
175,nemuro,43.32,145.57,57.92,97,100,6.46,JP,1595098292
176,acapulco,16.86,-99.89,87.8,66,5,11.41,MX,1595098213
177,ust-nera,64.57,143.2,61.36,41,100,4.09,RU,1595098293
